                         basic                         random                        random_glouton                SPT                           LPT                           SRPT                          LRPT                          EST_SPT                       EST_LPT                       EST_SRPT                      EST_LRPT                      descentSolver                 TabouSolver                   
instance size  best      runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        
ft06     6x6     55            4       60   9,1           1001       55   0,0              2      110 100,0              0      108  96,4              4      133 141,8              0      154 180,0              0       74  34,5              4       62  12,7              0       64  16,4              0       63  14,5              0       67  21,8             12       60   9,1        k:13617    999       55   0,0        
ft10     10x10  930            0     1319  41,8            999     1209  30,0              2     1958 110,5              0     2569 176,2              4     2860 207,5              4     2657 185,7              2     1289  38,6              4     1412  51,8              4     1415  52,2              4     1790  92,5              0     1581  70,0             16     1116  20,0        k:909    999     1032  11,0        
ft20     20x5  1165            0     1672  43,5           1000     1529  31,2              2     2179  87,0              0     2765 137,3              4     2603 123,4              0     2986 156,3              0     1955  67,8              4     1723  47,9              0     1880  61,4              4     1891  62,3              0     1877  61,1              4     1604  37,7        k:1896    999     1279   9,8        
la01     10x5   666            0      858  28,8            999      701   5,3              1     1054  58,3              1     1464 119,8              1     1996 199,7              0     1964 194,9              0      845  26,9              0      882  32,4              0      861  29,3              0      929  39,5              0      944  41,7              0      858  28,8        k:15626   1001      666   0,0        
la02     10x5   655            0      904  38,0           1001      729  11,3              1     1067  62,9              1     1943 196,6              0     1908 191,3              0     1776 171,1              0      982  49,9              0      859  31,1              0     1023  56,2              0     1038  58,5              0      932  42,3              0      769  17,4        k:10075   1002      655   0,0        
la03     10x5   597            0      775  29,8            999      673  12,7              0      848  42,0              0     1053  76,4              0     1211 102,8              0     1660 178,1              4      797  33,5              0      994  66,5              0     1037  73,7              0      753  26,1              0      985  65,0              4      654   9,5        k:6744   1002      614   2,8        
la04     10x5   590            0      854  44,7           1000      667  13,1              1     1371 132,4              0     1491 152,7              0     1687 185,9              0     1677 184,2              0     1000  69,5              0      809  37,1              0      895  51,7              0      994  68,5              0      952  61,4              0      835  41,5        k:7046   1001      595   0,8        
la05     10x5   593            0      629   6,1            999      593   0,0              1      833  40,5              0     1521 156,5              0     1597 169,3              0     1654 178,9              0      666  12,3              0      741  25,0              0      811  36,8              0      944  59,2              4      689  16,2              0      593   0,0        k:15900   1001      593   0,0        
la06     15x5   926            0     1015   9,6            999      943   1,8              1     1468  58,5              0     2372 156,2              0     2511 171,2              0     2788 201,1              4     1151  24,3              0     1471  58,9              0     1474  59,2              4     1347  45,5              0     1085  17,2              2      926   0,0        k:7743   1002      926   0,0        
la07     15x5   890            0     1096  23,1           1000      986  10,8              0     1358  52,6              1     1823 104,8              0     2456 176,0              0     2685 201,7              0     1108  24,5              0     1154  29,7              0     1549  74,0              4     1098  23,4              0     1162  30,6              0     1014  13,9        k:8216   1001      890   0,0        
la08     15x5   863            0     1102  27,7           1000      944   9,4              1     1117  29,4              0     2309 167,6              0     2348 172,1              0     3235 274,9              0     1196  38,6              0     1261  46,1              0     1157  34,1              0     1261  46,1              0     1149  33,1              0      932   8,0        k:7986   1001      863   0,0        
la09     15x5   951            0     1024   7,7           1001      964   1,4              0     1539  61,8              0     2638 177,4              0     2332 145,2              0     3210 237,5              3     1233  29,7              0     1010   6,2              0     1354  42,4              0     1396  46,8              0     1091  14,7              4      960   0,9        k:9645   1000      951   0,0        
la10     15x5   958            0      958   0,0           1002      958   0,0              1     1423  48,5              0     2149 124,3              0     2255 135,4              0     3193 233,3              3     1224  27,8              0     1105  15,3              0     1144  19,4              2      982   2,5              0     1015   5,9              0      958   0,0        k:9319   1001      958   0,0        
la11     20x5  1222            0     1297   6,1            999     1285   5,2              0     1929  57,9              0     3091 152,9              4     3262 166,9              1     3887 218,1              0     1483  21,4              0     1563  27,9              0     1564  28,0              4     1520  24,4              0     1328   8,7              4     1222   0,0        k:5669   1001     1222   0,0        
la12     20x5  1039            0     1205  16,0           1000     1096   5,5              2     1804  73,6              1     2359 127,0              0     2722 162,0              0     3101 198,5              4     1276  22,8              0     1236  19,0              0     1333  28,3              0     1208  16,3              4     1234  18,8              0     1096   5,5        k:4630    999     1039   0,0        
la13     20x5  1150            0     1154   0,3           1002     1182   2,8              1     2092  81,9              0     2691 134,0              0     3057 165,8              0     3780 228,7              4     1371  19,2              0     1441  25,3              0     1371  19,2              4     1261   9,7              0     1359  18,2              0     1150   0,0        k:5499   1001     1150   0,0        
la14     20x5  1292            0     1292   0,0           1001     1292   0,0              1     1711  32,4              1     3264 152,6              0     3189 146,8              0     4391 239,9              0     1362   5,4              0     1292   0,0              4     1396   8,0              0     1292   0,0              4     1292   0,0              0     1292   0,0        k:5350    999     1292   0,0        
la15     20x5  1207            0     1586  31,4           1002     1390  15,2              1     1837  52,2              0     3179 163,4              0     3086 155,7              0     3997 231,2              4     1511  25,2              0     1555  28,8              0     1814  50,3              4     1673  38,6              0     1681  39,3              4     1415  17,2        k:4121   1000     1207   0,0        
la16     10x10  945            0     1327  40,4           1001     1099  16,3              1     2165 129,1              0     3492 269,5              0     3050 222,8              0     3875 310,1              4     1443  52,7              0     1468  55,3              0     1244  31,6              4     1474  56,0              0     1249  32,2              4     1095  15,9        k:1313   1002      975   3,2        
la17     10x10  784            0      912  16,3           1002      928  18,4              1     1359  73,3              1     3153 302,2              0     3033 286,9              0     3776 381,6              4     1135  44,8              0     1078  37,5              0     1256  60,2              4     1101  40,4              0     1199  52,9              4      848   8,2        k:1091   1001      794   1,3        
la18     10x10  848            0     1024  20,8           1002     1012  19,3              0     1327  56,5              1     2788 228,8              1     3491 311,7              1     4103 383,8              1     1130  33,3              0     1123  32,4              0     1198  41,3              0     1303  53,7              4     1121  32,2              4      938  10,6        k:1055   1001      892   5,2        
la19     10x10  842            0     1058  25,7           1000      972  15,4              0     1681  99,6              0     3613 329,1              0     3056 262,9              0     4087 385,4              4     1146  36,1              0     1135  34,8              0     1167  38,6              4     1151  36,7              0     1210  43,7              8      980  16,4        k:833   1001      873   3,7        
la20     10x10  902            0     1259  39,6           1002     1080  19,7              1     1826 102,4              1     3029 235,8              0     3242 259,4              0     3881 330,3              4     1404  55,7              0     1281  42,0              0     1353  50,0              0     1307  44,9              4     1176  30,4              4     1095  21,4        k:995   1002      914   1,3        
la21     15x10 1046            0     1555  48,7           1000     1387  32,6              1     2035  94,6              4     4968 375,0              4     5595 434,9              5     5733 448,1              0     1494  42,8              4     1616  54,5              3     1553  48,5              5     1461  39,7              4     1518  45,1             28     1235  18,1        k:421   1002     1102   5,4        
la22     15x10  927            0     1360  46,7           1002     1273  37,3              1     1937 109,0              4     4106 342,9              4     4292 363,0              4     5525 496,0              4     1428  54,0              0     1560  68,3              4     1706  84,0              4     1426  53,8              4     1340  44,6              6     1268  36,8        k:454   1003      968   4,4        
la23     15x10 1032            0     1436  39,1            999     1369  32,7              1     2328 125,6              4     4189 305,9              4     5006 385,1              0     6426 522,7              0     1576  52,7              4     1268  22,9              4     1387  34,4              4     1357  31,5              0     1477  43,1             20     1179  14,2        k:383   1003     1070   3,7        
la24     15x10  935            0     1245  33,2            999     1264  35,2              2     1804  92,9              4     4277 357,4              4     4408 371,4              0     6510 596,3              4     1766  88,9              4     1404  50,2              4     1419  51,8              4     1428  52,7              0     1413  51,1             16     1168  24,9        k:406   1000      989   5,8        
la25     15x10  977            0     1440  47,4           1000     1319  35,0              1     2020 106,8              4     4394 349,7              0     5331 445,6              0     6104 524,8              4     1485  52,0              4     1685  72,5              4     1529  56,5              0     1357  38,9              4     1471  50,6             28     1187  21,5        k:465   1002     1097  12,3        
la26     20x10 1218            0     1759  44,4           1000     1700  39,6              6     2521 107,0              8     6765 455,4              4     5103 319,0              4     8303 581,7              8     1792  47,1              8     1864  53,0              8     2027  66,4              4     1995  63,8              4     1843  51,3             36     1488  22,2        k:256   1004     1273   4,5        
la27     20x10 1235            0     1791  45,0           1000     1759  42,4              5     2460  99,2              8     6818 452,1              4     5939 380,9              6     8293 571,5              9     1918  55,3              3     1831  48,3             11     1883  52,5              4     2286  85,1              4     1853  50,0             78     1509  22,2        k:211   1003     1398  13,2        
la28     20x10 1216            0     1642  35,0            999     1718  41,3              6     2401  97,5              8     6224 411,8              8     5508 353,0              6     8224 576,3              8     2058  69,2              8     2004  64,8              4     1836  51,0              8     1884  54,9              7     1652  35,9             52     1407  15,7        k:280   1003     1292   6,3        
la29     20x10 1152            0     1686  46,4           1000     1683  46,1              6     2365 105,3              8     5022 335,9              8     5621 387,9              6     8318 622,0              4     1674  45,3              4     1828  58,7              8     2058  78,6              6     2072  79,9              8     1891  64,1             36     1454  26,2        k:252   1001     1279  11,0        
la30     20x10 1355            0     1774  30,9           1000     1805  33,2              5     3272 141,5              8     5409 299,2              4     5353 295,1              8     7653 464,8              8     1944  43,5              8     2327  71,7              6     2386  76,1              6     2306  70,2              8     2066  52,5             25     1652  21,9        k:332   1008     1444   6,6        
la31     30x10 1784            0     2215  24,2            999     2336  30,9             25     3182  78,4             24     8469 374,7             25     9248 418,4             26    12075 576,8             21     2328  30,5             26     2857  60,1             24     2440  36,8             24     2577  44,5             32     2649  48,5             32     2103  17,9        k:242   1002     1784   0,0        
la32     30x10 1850            0     2421  30,9            999     2467  33,4             20     3241  75,2             22     8296 348,4             24     9510 414,1             22    12743 588,8             20     2601  40,6             26     3107  67,9             20     3203  73,1             21     2957  59,8             24     2916  57,6            121     2087  12,8        k:118   1004     1883   1,8        
la33     30x10 1719            0     2139  24,4            999     2141  24,5             18     3600 109,4             24     7124 314,4             23     9861 473,6             22    11702 580,7             22     2600  51,3             25     3217  87,1             22     3474 102,1             24     2576  49,9             24     2442  42,1             62     1992  15,9        k:137   1005     1719   0,0        
la34     30x10 1721            0     2284  32,7           1001     2320  34,8             22     2992  73,9             20     8384 387,2             24     9237 436,7             24    10920 534,5             24     2381  38,3             20     2849  65,5             22     2888  67,8             20     2958  71,9             26     2528  46,9            116     1982  15,2        k:142   1002     1747   1,5        
la35     30x10 1888            0     2498  32,3           1002     2535  34,3             22     3511  86,0             20     7277 285,4             24     8846 368,5             26    11765 523,1             20     2555  35,3             24     2930  55,2             24     2647  40,2             24     2891  53,1             20     2782  47,4             96     2260  19,7        k:133   1004     1957   3,7        
la36     15x15 1268            0     1677  32,3           1000     1775  40,0              5     2848 124,6              8     7510 492,3             12     6465 409,9              8     8929 604,2             12     1981  56,2              8     2150  69,6             12     2039  60,8             12     1944  53,3              8     2120  67,2             44     1570  23,8        k:160   1003     1405  10,8        
la37     15x15 1397            0     2098  50,2           1002     1972  41,2              6     2949 111,1             10     7849 461,8             12     6675 377,8             10    10599 658,7             12     2087  49,4             10     1939  38,8             11     2022  44,7              8     2054  47,0              8     2126  52,2             86     1772  26,8        k:132   1007     1523   9,0        
la38     15x15 1196            0     1766  47,7           1001     1743  45,7             10     2963 147,7              8     6455 439,7             12     5801 385,0              8     8912 645,2              6     1860  55,5             10     1919  60,5             10     2001  67,3             10     2030  69,7              8     1844  54,2            135     1427  19,3        k:121   1004     1376  15,1        
la39     15x15 1233            0     1794  45,5           1001     1757  42,5              7     2253  82,7              8     6195 402,4             13     6021 388,3             12     8844 617,3              8     1778  44,2             10     1808  46,6             10     2003  62,4              8     1838  49,1             10     1889  53,2            108     1496  21,3        k:131   1007     1392  12,9        
la40     15x15 1222            0     1728  41,4           1001     1773  45,1              6     2391  95,7             12     6098 399,0             12     7428 507,9             10     9061 641,5             10     1953  59,8              8     1838  50,4             10     1885  54,3              8     1778  45,5              8     1661  35,9            128     1455  19,1        k:126   1002     1390  13,7        
AVG      -        -          0,1        -  29,9         1000,3        -  23,1            4,6        -  86,2            5,2        - 268,1            5,7        - 283,2            5,0        - 392,1            5,8        -  42,0            5,3        -  44,9            5,3        -  50,5            5,7        -  47,0            5,4        -  40,7           30,9        -  16,2         1002,0        -   4,2        
