                         basic                         random                        random_glouton                SPT                           LPT                           SRPT                          LRPT                          EST_SPT                       EST_LPT                       EST_SRPT                      EST_LRPT                      descentSolver                 
instance size  best      runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        
la31     30x10 1784            0     2215  24,2            999     2336  30,9             22     3161  77,2             26     8469 374,7             25     9248 418,4             27    12075 576,8             25     2328  30,5             25     2857  60,1             25     2440  36,8             26     2577  44,5             25     2649  48,5             28     2103  17,9        
la32     30x10 1850            1     2421  30,9            999     2467  33,4             24     3705 100,3             25     8296 348,4             26     9510 414,1             25    12743 588,8             25     2601  40,6             25     3107  67,9             25     3203  73,1             23     2957  59,8             27     2916  57,6            121     2087  12,8        
la33     30x10 1719            0     2139  24,4            999     2141  24,5             23     3468 101,7             25     7124 314,4             25     9861 473,6             25    11702 580,7             25     2600  51,3             25     3217  87,1             27     3474 102,1             26     2576  49,9             28     2442  42,1             72     1992  15,9        
la34     30x10 1721            0     2284  32,7            999     2320  34,8             22     3129  81,8             24     8384 387,2             25     9237 436,7             25    10920 534,5             25     2381  38,3             24     2849  65,5             25     2888  67,8             23     2958  71,9             24     2528  46,9            119     1982  15,2        
la35     30x10 1888            0     2498  32,3            999     2535  34,3             23     3622  91,8             24     7277 285,4             25     8846 368,5             24    11765 523,1             24     2555  35,3             25     2930  55,2             24     2647  40,2             24     2891  53,1             23     2782  47,4             96     2260  19,7        
la36     15x15 1268            0     1677  32,3            999     1775  40,0              9     2704 113,2             12     7510 492,3             11     6465 409,9             10     8929 604,2             11     1981  56,2             11     2150  69,6              9     2039  60,8              9     1944  53,3             10     2120  67,2             42     1570  23,8        
la37     15x15 1397            0     2098  50,2            999     1972  41,2             12     2562  83,4             12     7849 461,8             10     6675 377,8             11    10599 658,7             11     2087  49,4              9     1939  38,8             10     2022  44,7              9     2054  47,0              9     2126  52,2             91     1772  26,8        
la38     15x15 1196            0     1766  47,7            999     1743  45,7              9     2457 105,4             11     6455 439,7             11     5801 385,0             10     8912 645,2             10     1860  55,5              9     1919  60,5             10     2001  67,3             10     2030  69,7              9     1844  54,2            125     1427  19,3        
la39     15x15 1233            0     1794  45,5            999     1757  42,5              9     2699 118,9             10     6195 402,4             10     6021 388,3             10     8844 617,3             10     1778  44,2             10     1808  46,6             10     2003  62,4             10     1838  49,1             10     1889  53,2            101     1496  21,3        
la40     15x15 1222            0     1728  41,4            999     1773  45,1             10     2526 106,7             12     6098 399,0             11     7428 507,9             11     9061 641,5             11     1953  59,8              9     1838  50,4             11     1885  54,3             11     1778  45,5              9     1661  35,9            120     1455  19,1        
AVG      -        -          0,1        -  29,9          999,0        -  23,1            5,4        -  87,1            6,0        - 268,1            6,0        - 283,2            5,9        - 392,1            5,8        -  42,0            5,8        -  44,9            5,8        -  50,5            5,7        -  47,0            6,0        -  40,7           31,1        -  16,2        
