                         basic                         random                        random_glouton                SPT                           LPT                           SRPT                          LRPT                          EST_SPT                       EST_LPT                       EST_SRPT                      EST_LRPT                      descentSolver                 TabouSolver                   
instance size  best      runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        
ft06     6x6     55            4       60   9,1           2001       55   0,0              1       83  50,9              0      108  96,4              0      133 141,8              4      154 180,0              0       74  34,5              0       62  12,7              4       64  16,4              0       63  14,5              0       67  21,8              8       60   9,1        k:31578   2000       55   0,0        
ft10     10x10  930            0     1319  41,8           2000     1183  27,2              1     1984 113,3              3     2569 176,2              0     2860 207,5              4     2657 185,7              4     1289  38,6              0     1412  51,8              0     1415  52,2              4     1790  92,5              0     1581  70,0             16     1116  20,0        k:1815   2001     1006   8,2        
ft20     20x5  1165            0     1672  43,5           2002     1529  31,2              1     1772  52,1              0     2765 137,3              4     2603 123,4              0     2986 156,3              4     1955  67,8              0     1723  47,9              4     1880  61,4              4     1891  62,3              0     1877  61,1              4     1604  37,7        k:3621   2000     1225   5,2        
la01     10x5   666            0      858  28,8           2000      691   3,8              1     1263  89,6              1     1464 119,8              0     1996 199,7              0     1964 194,9              0      845  26,9              0      882  32,4              0      861  29,3              0      929  39,5              0      944  41,7              0      858  28,8        k:32207   1999      666   0,0        
la02     10x5   655            0      904  38,0           1999      729  11,3              0     1016  55,1              1     1943 196,6              0     1908 191,3              0     1776 171,1              0      982  49,9              0      859  31,1              0     1023  56,2              0     1038  58,5              0      932  42,3              4      769  17,4        k:25822   1999      655   0,0        
la03     10x5   597            0      775  29,8           1999      659  10,4              1     1144  91,6              1     1053  76,4              0     1211 102,8              0     1660 178,1              0      797  33,5              0      994  66,5              0     1037  73,7              0      753  26,1              0      985  65,0              2      654   9,5        k:20967   2000      606   1,5        
la04     10x5   590            0      854  44,7           2000      661  12,0              1     1151  95,1              0     1491 152,7              0     1687 185,9              0     1677 184,2              0     1000  69,5              0      809  37,1              0      895  51,7              0      994  68,5              0      952  61,4              4      835  41,5        k:23320   1999      595   0,8        
la05     10x5   593            0      629   6,1           2001      593   0,0              0     1020  72,0              1     1521 156,5              0     1597 169,3              0     1654 178,9              0      666  12,3              3      741  25,0              0      811  36,8              0      944  59,2              0      689  16,2              0      593   0,0        k:33012   2001      593   0,0        
la06     15x5   926            0     1015   9,6           2000      943   1,8              0     1616  74,5              0     2372 156,2              0     2511 171,2              0     2788 201,1              0     1151  24,3              4     1471  58,9              0     1474  59,2              0     1347  45,5              0     1085  17,2              4      926   0,0        k:15752   2001      926   0,0        
la07     15x5   890            0     1096  23,1           2001      981  10,2              0     1644  84,7              0     1823 104,8              0     2456 176,0              0     2685 201,7              3     1108  24,5              0     1154  29,7              0     1549  74,0              2     1098  23,4              0     1162  30,6              0     1014  13,9        k:16404   2000      890   0,0        
