                         basic                         random                        random_glouton                SPT                           LPT                           SRPT                          LRPT                          EST_SPT                       EST_LPT                       EST_SRPT                      EST_LRPT                      descentSolver                 TabouSolver                   
instance size  best      runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        runtime makespan ecart        
la17     10x10  784            0      912  16,3           4999      893  13,9              1     1184  51,0              0     3153 302,2              0     3033 286,9              0     3776 381,6              4     1135  44,8              0     1078  37,5              0     1256  60,2              0     1101  40,4              0     1199  52,9              2      848   8,2        k:5883   5002      794   1,3        
la18     10x10  848            0     1024  20,8           4999      987  16,4              1     1461  72,3              1     2788 228,8              0     3491 311,7              0     4103 383,8              4     1130  33,3              0     1123  32,4              0     1198  41,3              0     1303  53,7              0     1121  32,2              4      938  10,6        k:4960   5002      861   1,5        
la19     10x10  842            0     1058  25,7           5001      972  15,4              0     1353  60,7              1     3613 329,1              0     3056 262,9              0     4087 385,4              0     1146  36,1              4     1135  34,8              0     1167  38,6              0     1151  36,7              0     1210  43,7              8      980  16,4        k:4155   5000      873   3,7        
la20     10x10  902            0     1259  39,6           5000     1062  17,7              0     1824 102,2              2     3029 235,8              0     3242 259,4              0     3881 330,3              0     1404  55,7              4     1281  42,0              0     1353  50,0              0     1307  44,9              4     1176  30,4              4     1095  21,4        k:4786   5001      914   1,3        
la21     15x10 1046            0     1555  48,7           5001     1381  32,0              1     2293 119,2              4     4968 375,0              4     5595 434,9              2     5733 448,1              4     1494  42,8              4     1616  54,5              0     1553  48,5              4     1461  39,7              4     1518  45,1             30     1235  18,1        k:2000   5003     1096   4,8        
la22     15x10  927            0     1360  46,7           5002     1268  36,8              2     1943 109,6              4     4106 342,9              4     4292 363,0              0     5525 496,0              4     1428  54,0              4     1560  68,3              4     1706  84,0              4     1426  53,8              0     1340  44,6              8     1268  36,8        k:1984   5000      960   3,6        
la23     15x10 1032            0     1436  39,1           4999     1326  28,5              2     1960  89,9              4     4189 305,9              4     5006 385,1              0     6426 522,7              4     1576  52,7              4     1268  22,9              4     1387  34,4              0     1357  31,5              4     1477  43,1             20     1179  14,2        k:2018   5001     1040   0,8        
la24     15x10  935            0     1245  33,2           5001     1264  35,2              2     1848  97,6              4     4277 357,4              4     4408 371,4              0     6510 596,3              0     1766  88,9              4     1404  50,2              4     1419  51,8              4     1428  52,7              0     1413  51,1             16     1168  24,9        k:1826   5001      974   4,2        
la25     15x10  977            0     1440  47,4           5002     1295  32,5              2     2151 120,2              4     4394 349,7              0     5331 445,6              0     6104 524,8              4     1485  52,0              4     1685  72,5              4     1529  56,5              2     1357  38,9              4     1471  50,6             26     1187  21,5        k:2155   5001     1067   9,2        
la26     20x10 1218            0     1759  44,4           4999     1679  37,8              6     2764 126,9              8     6765 455,4              4     5103 319,0              4     8303 581,7              8     1792  47,1              8     1864  53,0              4     2027  66,4              8     1995  63,8              8     1843  51,3             36     1488  22,2        k:1161   5003     1255   3,0        
la27     20x10 1235            0     1791  45,0           5001     1740  40,9              4     2641 113,8              8     6818 452,1             10     5939 380,9              4     8293 571,5              8     1918  55,3              7     1831  48,3              7     1883  52,5              7     2286  85,1              8     1853  50,0             78     1509  22,2        k:1182   5000     1376  11,4        
la28     20x10 1216            0     1642  35,0           5000     1710  40,6              5     2373  95,1              8     6224 411,8              8     5508 353,0              4     8224 576,3              8     2058  69,2              8     2004  64,8              8     1836  51,0              8     1884  54,9              4     1652  35,9             56     1407  15,7        k:1359   5003     1261   3,7        
la29     20x10 1152            0     1686  46,4           5000     1631  41,6              6     2312 100,7              8     5022 335,9              8     5621 387,9              4     8318 622,0              8     1674  45,3              8     1828  58,7              8     2058  78,6              4     2072  79,9              4     1891  64,1             38     1454  26,2        k:1248   5006     1263   9,6        
la30     20x10 1355            0     1774  30,9           5000     1800  32,8              6     2771 104,5              8     5409 299,2              8     5353 295,1              4     7653 464,8              8     1944  43,5              8     2327  71,7              8     2386  76,1              4     2306  70,2              7     2066  52,5             26     1652  21,9        k:1496   5003     1396   3,0        
la31     30x10 1784            0     2215  24,2           4999     2284  28,0             19     3145  76,3             26     8469 374,7             26     9248 418,4             20    12075 576,8             24     2328  30,5             22     2857  60,1             22     2440  36,8             24     2577  44,5             24     2649  48,5             26     2103  17,9        k:1805   5004     1784   0,0        
la32     30x10 1850            0     2421  30,9           5000     2448  32,3             25     3640  96,8             24     8296 348,4             22     9510 414,1             24    12743 588,8             22     2601  40,6             24     3107  67,9             20     3203  73,1             20     2957  59,8             24     2916  57,6            124     2087  12,8        k:1816   4999     1850   0,0        
la33     30x10 1719            0     2139  24,4           5002     2141  24,5             21     3063  78,2             24     7124 314,4             20     9861 473,6             20    11702 580,7             25     2600  51,3             19     3217  87,1             24     3474 102,1             24     2576  49,9             20     2442  42,1             65     1992  15,9        k:1707   5002     1719   0,0        
la34     30x10 1721            0     2284  32,7           4999     2320  34,8             20     3172  84,3             24     8384 387,2             23     9237 436,7             24    10920 534,5             20     2381  38,3             26     2849  65,5             22     2888  67,8             23     2958  71,9             24     2528  46,9            116     1982  15,2        k:1483   5003     1721   0,0        
la35     30x10 1888            0     2498  32,3           5002     2486  31,7             22     3506  85,7             24     7277 285,4             24     8846 368,5             24    11765 523,1             20     2555  35,3             24     2930  55,2             24     2647  40,2             20     2891  53,1             24     2782  47,4            100     2260  19,7        k:1673   5003     1888   0,0        
la36     15x15 1268            0     1677  32,3           4999     1748  37,9              6     3006 137,1             12     7510 492,3             12     6465 409,9              8     8929 604,2              8     1981  56,2              6     2150  69,6             10     2039  60,8             12     1944  53,3             10     2120  67,2             42     1570  23,8        k:753   5007     1325   4,5        
la37     15x15 1397            0     2098  50,2           4999     1941  38,9              8     2883 106,4             12     7849 461,8             10     6675 377,8             10    10599 658,7             10     2087  49,4              8     1939  38,8             11     2022  44,7             10     2054  47,0             11     2126  52,2             82     1772  26,8        k:646   5007     1452   3,9        
la38     15x15 1196            0     1766  47,7           5000     1705  42,6             10     2567 114,6              8     6455 439,7             12     5801 385,0              8     8912 645,2             12     1860  55,5              8     1919  60,5              8     2001  67,3              8     2030  69,7              8     1844  54,2            136     1427  19,3        k:604   5003     1364  14,0        
la39     15x15 1233            0     1794  45,5           4999     1626  31,9              5     2810 127,9             12     6195 402,4             12     6021 388,3              8     8844 617,3             12     1778  44,2              8     1808  46,6             12     2003  62,4              8     1838  49,1              8     1889  53,2            108     1496  21,3        k:634   5008     1344   9,0        
la40     15x15 1222            0     1728  41,4           5001     1696  38,8              6     2753 125,3             13     6098 399,0             10     7428 507,9             12     9061 641,5              8     1953  59,8             12     1838  50,4             10     1885  54,3              8     1778  45,5              8     1661  35,9            127     1455  19,1        k:608   5003     1313   7,4        
AVG      -        -          0,2        -  29,9         5000,2        -  21,0            4,7        -  85,1            5,8        - 268,1            5,4        - 283,2            4,5        - 392,1            5,6        -  42,0            5,3        -  44,9            5,4        -  50,5            5,4        -  47,0            5,1        -  40,7           31,0        -  16,2         5001,8        -   2,6        
